name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,created,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed
Christopher Columbus,"Columbus, Christopher",297,Y,Manhattan,Central Park,M010,7,8,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,07/01/1993,,,Y         ,,,," Sculpture, Explorer",PRESENTED BY THE CITIZENS OF NEW YORK /  IN COMMEMORATION OF THE /  FOUR HUNDREDTH ANNIVERSARY /  OF THE /  DISCOVERY OF THE NEW WORLD / OCTOBER 1492
Christopher Columbus,"Columbus, Christopher",297,Y,Manhattan,Central Park,M010,7,8,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,07/01/1993,,,Y         ,,,," Sculpture, Explorer",PRESENTED BY THE CITIZENS OF NEW YORK /  IN COMMEMORATION OF THE /  FOUR HUNDREDTH ANNIVERSARY /  OF THE /  DISCOVERY OF THE NEW WORLD / OCTOBER 1492
Christopher Columbus,"Columbus, Christopher",298,Y,Brooklyn,Columbus Park,B113C,2,33,"In front of New York State Supreme Court Building, at Montague and Court Streets",Y,1867 (?),ca 1867,"Standing figure on base, on plinth","Figure H: 7'; Pedestal H: 11' Diameter: 3'6""; Base H: 2'6"" Diameter: 8'9""; Plinth H: 1' Diameter: 17'3""",,"Italian marble, limestone",,,Emma Stebbins,Aymar Embury II,Marshal O. Roberts,,,07/01/1993,,,Y         ,,,," Sculpture, Explorer",CHRISTOPHER / COLUMBUS /
Christopher Columbus,"Columbus, Christopher",300,Y,the Bronx,D'Auria Murphy Triangle,X068,6,15,"East 183rd St, Crescent Ave,  Adams Place",Y,c. 1926; 1992 (rededication),,Bust on plinth on pedestal supported by two-part base,"Bust and plinth H: 4'3""  W: 4'4"" D: 2'3""; Pedestal H: 5'7"" W: 2'7"" D: 2'3""",,Bust and plinth--Carrara marble; Pedestal and base--granite,,,Attilio Piccirilli,,,,,07/01/1993,,,Y         ,,,, Explorer,1) Sculpture:  A. PICCIRILLI /  2) Pedestal :COLVMBVS / OCTOBER 12 1492 /
Christopher Columbus Monument Fountain,"Columbus, Christopher",293,Y,Manhattan,Central Park,M010,7,8,59th Street and Central Park West (Columbus Circle),N,"October 11, 1965",ca. 1965,"Ornamental fountain with small descriptive plaque, recessed plinth",,,Plaque--bronze; Plinth--granite,,,,,"George T. Delacorte, Dell Publishing Company Foundation",,,07/01/1993,,,,,,, Explorer,"THESE FOUNTAINS ARE A GIFT OF / GEORGE T. DELACORTE / DELL PUBLISHING COMPANY FOUNDATION / OCTOBER 11, 1965"
Christopher Columbus Tablet,"columbus, christopher",301,Y,Brooklyn,Columbus Park,B113C,2,33,"In front of New York State Supreme Court Building, at Montague and Court Streets",Y,"October 8, 1971",,Plaque on pedestal,"H: 12"" W: 36"" D: ¼""d",,Bronze,"U.S. Bronze Sign Company, NY",,,,P.R.C.A.,,,07/01/1993,,,Y         ,,,, Explorer,"THE COOPERATION OF MAYOR JOHN V. LINDSAY / AND ADMINISTRATIOR AUGUST  HECKSCHER OF P.R.C.A. / ENABLED JOHN N. LA CORTE, FOUNDER OF THE / ITALIAN HISTORICAL SOCIETY OF AMERICA / TO ENRICH THE BROOKLYN CIVIC CENTER WITH THIS MONUMENT / INSTALLED BY A. OTTAVINO, OCTOBER 8, 1971 /"
"Ciccarone, Pvt. V.","ciccarone, pvt. v.",247,Y,the Bronx,,,0,0,Stolen prior to 1971,M,,,,,,,,,,,,,,07/01/1993,,,,,,,,
Cigarette,Cigarette,1937,N,Manhattan,,,5,3,"The Museum of Modern Art, 11 West 53rd Street",Y,June 1980,1971,geometric form,"h 15'1"" x w 25'6"" x d 18'7""",,steel (painted black),,"Industrial Welding, Newark, NJ",Tony Smith,,Museum of Modern Art,,,09/30/1997,,,,,,,,
Citibank Fountain,citibank fountain,248,Y,Manhattan,Central Park,M010,7,8,90th Street and 5th Avenue,M,1980,,Drinking fountain,H: 3' W: 4',,"Concrete, aluminum",,,,,Citibank,,,07/01/1993,,,,,,,,"FOUNTAIN INSTALLED FOR THE CONVENIENCE OF JOGGERS.  DONATED BY CITIBANK, 1980."
City College,,249,N,Manhattan,,,0,0,,Y,,,,,,,,,,,,,,07/01/1993,,,,,,,,
justice,,830,N,Manhattan,,,5,2,APPELLATE COURT; madison ave at 25th st,Y,1899,,group,,,,,,daniel chester french,,"purchase  $15,000",,,07/01/1993,,,,,,,,
City Employees War Memorial,City Employees War Memorial,250,Y,Manhattan,Central Park,M010,7,8,"West of north end of Mall, opposite Naumberg Bandshell",Y,1926,ca 1926,"Flagstaff supported by sleeve ornamented with leaves and ending in four medallions in relief and four standing eagles with outspread wings, on pedestal","Sleeve H: 4'11"" W: 3'2"" D: 3'2""; Pedestal H: 6'1"" W: 7'6"" D: 7'6""",CPC,Flagstaff--iron; Sleeve--bronze; Pedestal--Deer Isle granite,,,Georg John Lober,Otto Langman,Mrs. Charles Augustine Robinson,,,07/01/1993,,,Y         ,,,"$14,000"," Sculpture, War Memorial, Public Servant","IN / COMMEMORATION / OF THE HEROISM / AND SACRIFICES / OF THE / CITY EMPLOYEES / WHO FOUGHT / IN THE / VARIOUS WARS / OF THE / UNITED STATES /   PRESENTED BY / MRS. CHARLES / AUGUSTINE ROBINSON / NATIONAL FLAG-LADY / OF THE VETERANS OF / FOREIGN WARS OF / THE UNITED STATES /  Seals: State of New York, U. S. Army, U.S. Navy, City of New York"
City Hall (Interior),city hall (interior),252,O,Manhattan,,M013,1,1,Interior of City Hall,Y,,,,,,,,,,,,,,07/01/1993,,,,,,,,"CLINTON DE WITT-GOVENOR'S ROOM GREELEY, HORACE-ROTUNDA 2ND FLOOR HAVEMEYER, WILLIAM F.-GOVERNOR'S ROOM JAY, JOHN-COUNCIL CHAMBER JEFFERSON, THOMAS-ALDERMANIC CHAMBER (ROTUNDA) JUSTICE-ON TOP OF CITY HALL VAN WYCK WASHINGTON, GEORGE-GOVERNOR'S ROOM -SECOND FLOOR -LOBBY WILLET, THOMAS-CORRIDOR TO MAYORS OFFICE"
City Hall Monument List,City Hall monument list,251,Y,Manhattan,City Hall Park,M013,1,1,,N,,,,,CPF,,,,,,,,,07/01/1993,,,,,,,,"ADDAMS, JANE MEMORIAL BARRE, COLONEL ISSAC BIRD BATH CANADIAN BURR OAK COMMONS PLAQUE CURIE, MARIE SKLODOWSKA DECLARATION OF INDEPENDENCE FREEDOM TREE/CITY HALL PARK GREELEY, HORACE HALE, NATHAN LIBERTY FLAGPOLE PROVOST PRISON PULITZER, JOSEPH SUBWAY TABLET MYERS, DEBS ORNAMENT: LIGHT POLES WITH EAGLES  HISTORIC: CRANE FOUNTAIN-CIVIC VIRTUE (MOVED TO QUEENS) OLD BOROUGH HALL FOUNTAIN SEE:CROTONA PARK FOUNTAIN (MOVED TO BRONX)"
City Hall Park Fountain,City Hall Park Fountain,350,Y,Manhattan,City Hall Park,M013,1,1,South end,Y,"Rededicated October 7, 1999",1872,"Square pool with candelabrum at each corner; central column consisting of circular basin with umbrella above, surmounted by fixture",Pool L: 30' W: 30'; Basin Diameter: 10'; Column H: 15' (all approximate),Delacorte CPC,"Pool and column (except for fixture)--granite; Candelabra, fixture--bronze",,,,Jacob Wrey Mould,Purchase,,,07/01/1993,Mould Fountain,,Y         ,,,,,
City Hall Plaque,,2133,Y,Manhattan,,,1,1,City Hall,Y,1988,,Plaque mounted on building façade,,,Bronze,,,,,New York Landmarks Presevation Foundation,,,,,,Y         ,,,,,"DESIGNATED LANDMARK / NEW YORK CITY / CITY HALL / NEW YORK'S THIRD CITY HALL, ONE OF ITS FINEST / ARCHITECTURAL TREASURES, WAS COMPLETED IN 1811. / DESIGNED BY FRENCH-BORN J.F. MANGIN AND NEW YORK NATIVE / JOHN MCCOMB JR.. THE BUILDING COMBINES 18TH-CENTURY / FRENCH AND ENGLISH STYLISTIC TRADITIONS. THE DOMED / INTERIOR ROTUNDA CONTAINS A NOTABLE PARTIALLY / CANTILEVERED DOUBLE STAIRCASE. / NEW YORK LANDMARKS PRESERVATION FOUNDATION / 1988 /"
City Island World War Memorial,city island world war memorial,253,Y,the Bronx,City Island Park,X107,10,13,City Island Avenue and Hawkins Street,Y,,,Plaque on stele,"H: 51"" W: 25 ½"" D: 1""d",,"Bronze, granite",,,,,"Women's Auxiliary of Leonard H. Hawkins Post No. 156, American Legion",,,07/01/1993,Leonard H. Hawkins Memorial,,Y         ,,,," World War I, War Memorial",IN HONOR OF THE / BOYS OF CITY ISLAND / WHO SERVED IN THE WORLD WAR / [104 names] / AND IN MEMORY OF / LEONARD H. HAWKINS / WHO GAVE HIS LIFE FOR HIS COUNTRY / THIS TABLET DEDICATED BY THE PEOPLE / OF CITY ISLAND AND ERECTED BY THE / WOMEN'S AUXILIARY OF LEONARD H. HAWKINS / POST NO. 156 OF THE AMERICAN LEGION
City Island WW II Memorial,,254,N,the Bronx,,,10,13,CITY ISLAND; City Island Avenue and Sutherland Street,Y,,,One vertical stele w. plaque;  two horiz. steles with plaques; flagstaff w. sign,"18""h x 24""w",,"Bronze, granite, wood","International Bronze Tablet Company, Inc., New York, NY",,,,"Leonard H. Hawkins Post No. 156, American Legion",,,07/01/1993,,,Y         ,,,," War Memorial, World War II","PLAQUE ON STELE: FOR GOD AND COUNTRY 1941-1945 IN LOVING MEMORY OF OUR WAR DEAD (17 NAMES FOLLOW) MAY THEY REST INPEACE ERECTED BY THE LEONARD H. HAWKINS POST 156, INC. AMERICAN LEGION  WOOD SIGN ON FLAGPOLE: 1969 THE LEONARD H. HAWKINS POST 156 FLIES THE  FLAG ON THIS STAFF IN MEMORY OF (CHANGEABLE CARDS) A FELLOW COMRADE IN ARMS"
Civic Duty,,255,N,Manhattan,,,1,1,MUNICIPAL BUILDING; Chambers and Center Streets,Y,1912,,panel relief,,,Maine granite,,,Adolph A. Weiman,,puchase,,,07/01/1993,,,,,,, Sculpture,
Civic Fame,,256,N,Manhattan,,,1,1,MUNICIPAL BUILDING/TOWER; Chambers and Center Streets,Y,1913,,statue,,,bronze,,,Adolph Alexander Weinman,,purchase,,,07/01/1993,,,,,,, Sculpture,
Civic Pride,,257,N,Manhattan,,,1,1,"MUNICIPAL BUILDING; Chambers and Center Streets, arch south side",Y,1912,,panel relief,,,Maine granite,,,Adolph Alexander Weinman,,purchase,,,07/01/1993,,,,,,, Sculpture,
Civic Virtue,Civic Virtue,343,N,Queens,,QZ23,9,29,Beside Queens Borough Hall; Queens Boulevard and Union Turnpike,Y,"1922, 1941",ca. 1922,Male figure (heroic scale) standing over two prone female semi-figures on base inside fountain basin with four dolphin-head spouts below,"Total H: 22'10"" W: 5'7""; Basin diameter: 38'",,White Georgia marble,,Piccirilli Brothers,Frederick William MacMonnies,Thomas Hastings,Bequest of Angelina Crane,,,07/01/1993,,,Y         ,,,, Allegorical,THIS FOUNTAIN WAS ERECTED / BY THE CITY OF NEW YORK / WITH FUNDS BEQUEATHED BY / MRS. ANGELINA CRANE. /
Civil Engineers Plaque,civil engineers plaque,259,Y,Manhattan,City Hall Park,M013,1,1,South of Chambers Street,Y,May 1981,,Plaque on plinth,"H: 15 ¼"" W: 24 ¼""",,"Bronze, granite,",J.J. Kassmer and Company,,,American Society of Civil Engineers and D. Levine of J.J. Kassmer Co.,American Society of Civil Engineers,,,07/01/1993,,,Y         ,,,,,"THE ROTUNDA / A SMALL DOMED ROMAN-STYLE BUILDING NAMED FOR THE ROTUNDA / STOOD ON THIS SITE, 1818-1870. IT WAS THE CITY'S FIRST ART / MUSEUM AND WAS ERECTED TO DISPLAY PANORAMAS PAINTED / BY THE ARTIST, JOHN VANDERLYN. AT TIMES THE STRUCTURE / HOUSED A POST OFFICE, COURTS AND VARIOUS CITY AGENCIES. / --- / ON NOVEMBER 5, 1852 IN THE OFFICES OF THE CROTON / AQUEDUCT DEPARTMENT, THE AMERICAN SOCIETY OF CIVIL / ENGINEERS WAS FOUNDED. THE SOCIETY IS THE OLDEST / NATIONAL ASSOCIATION OF ENGINEERS IN THE UNITED STATES. / --- / THIS MARKER DONATED TO THE CITY OF NEW YORK BY THE SOCIETY MAY 1981. /"
"Clairmonte A. Cave, Sr. Memorial Pool",cave sr. clairmonte a. memorial pool,222,Y,Brooklyn,Kosciusko Pool,B351,3,36,Marcy and Dekalb Avenues,N,,,Plaque on exterior wall,"L: 32"" H: 12"" D: ¼""",,Stainless steel,,,,,Tompkins Park Committee,,,07/01/1993,,,,,,, Public Servant,"THE CLAIRMONTE A. CAVE, SR. MEMORIAL POOL/CLAIRMONTE A. CAVE/CIVIC WORKER AND MEMBER OF THE TOMPKINS PARK COMMITTEE/WAS BORN ON OCT. 18, 1886 AND DIED ON MARCH 3, 1968."
Clara Coffey Tablet,,2037,Y,Manhattan,Sutton Place Park,M108P,6,5,"Sutton Place South, between 53rd and 54th Sts.",Y,,,Tablet set in flower bed,"H: 8"" W: 1'4"" D: 8""",,Barre granite,,Presbrey-Leland Inc.,,,Hugh Adams represented by Park Avenue Malls Planting Project/Salute to Seasons Fund,,,,,,Y         ,07/11/1991,,,,THIS PARK IS DEDICATED TO CLARA COFFEY / LANDSCAPE ARCHITECT 1894-1982
Claremont Inn Tablet,claremont inn tablet,262,Y,Manhattan,Riverside Park,M071,9,6,CLAREMONT PLAYGROUND; Riverside Drive at 123rd St.,Y,1952,,Incised plaque set in pavement,H: 2' W: 4',,Deer Isle granite,,,,,DPR,,,07/01/1993,,,Y         ,,,,,SITE OF THE CLAREMONT INN / ERECTED IN 1788 AS A RESIDENCE / THE BUILDING BECAME A PUBLIC / TAVERN BEFORE THE CIVIL WAR. / IT WAS ACQUIRED BY THE CITY / IN 1878 AND WAS OPERATED AS A / RESTAURANT UNTIL ITS DEMOLITION / IN 1950.
Claremont Park Tablet,claremont park tablet,263,Y,the Bronx,Claremont Park,X008,4,14,"ZABROWSKI MANSION-CLAREMONT PK; Clay, Mt. Eden and Teller Streets",N,1913,,Tablet on exterior wall,"H: 36"" W: 24¾"" D: 1""",,Bronze,Tiffany Studios,,,Tiffany Studios,Gift,,,07/01/1993,,,,,,,,
Clark Street Park (Fort Stirling),clark street park (fort stirling),265,Y,Brooklyn,Fort Stirling Sitting Area,B036,2,33,Clark Street and Columbia Heights,Y,1925,,Tablet on plinth,"H: 17 ½"" W: 26¾""",,"Bronze, granite",,,Albert Winert,,"Gift of Fort Greene Chapter, Daughters of the American Revolution",,,07/01/1993,Fort Stirling Tablet,,Y         ,,,500.00," Revolutionary War, War Memorial",THIS TABLET MARKS THE SITE OF FORT STIRLING. / ON THIS BLUFF IN THE SPRING OF 1776 IT FORMED / ONE OF A CHAIN OF REDOUBTS BUILT IN BROOKLYN / OPPOSITE NEW YORK. THIS WORK FELL INTO THE HANDS OF / THE BRITISH DURING THE BATTLE OF LONG ISLAND AND / WAS THEREAFTER GARRISONED BY THE HESSIAN TROOPS / UNTIL VICTORY BY THE AMERICAN ARMY LED TO THE / EVACUATION OF NEW YORK NOVEMBER 25TH 1783. / ERECTED BY  FORT GREENE CHAPTER / DAUGHTERS OF THE AMERICAN REVOLUTION 1924 /
Clason Point World War I Memorial,Clason Point World War I Memorial,267,Y,the Bronx,Woodrow Wilson Square,X065,9,18,"Soundview, Underhill and Patterson Avenues",Y,1928,,"Bas-relief plaque with female figure (life size) surrounded by quotations; plaque is surmounted by an eagle with spread wings, on stele","Plaque H: 6'10""; Stele H: 11'2"" W: 4' D:1'8""",,Plaque and eagle---bronze; Stele--Deer Isle granite,,,James S. J. Novelli,,"Public subscription, Clason Point residents",,,07/01/1993,,,Y         ,,,"$3,500"," World War I, War Memorial",Plaque - top: DEDICATED TO THOSE WHO MADE THE SU- / PREME SACRIFICE AND TO ALL OTHERS / FROM CLASON POINT WHO ENTERED THE / SERVICE OF OUR COUNTRY IN THE WORLD WAR / NEW YORK CITY / A.D. 1928 /  Plaque - bottom left: LET US RAISE / A STANDARD TO WHICH / THE WISE AND HON- / EST CAN REPAIR THE / EVENT IS IN THE HANDS / OF GOD. / WASHINGTON / THAT GOVERNMENT / OF THE PEOPLE BY THE / PEOPLE AND FOR THE / PEOPLE SHALL NOT PER- / ISH FROM THE EARTH / LINCOLN /   Plaque - bottom right: NO IMPERIAL / DESIGNS LURK / IN THE AMERICAN / MIND THEY ARE / ALIEN TO AMERI - / CAN SENTIMENT / THOUGHT AND PURPOSE. / MCKINLEY / THAT THE WORLD / MAY BE MADE / SAFE FOR DEMOC- / RACY. / WILSON /   Granite: 1917 --- 1918
Clement G. Moore,,1055,Y,Queens,Clement Clarke Moore Homestead,Q361,4,34,"MOORE PARK; Broadway, 82nd Street",M,"August 8, 1991",,State education sign,,,,,,,,,,,07/01/1993,,,,,,, Writer,AUTHOR OF 'TWAS THE NIGHT BEFORE CHRISTMAS; ETC/  MOORE HOMESTEAD /  CISTERN DISCOVERED 8/8/91 DURING RECONSTRUCTION OF PARK
Clinton High School World War Memorial,,269,N,the Bronx,,,8,11,DE WITT CLINTON HIGH SCHOOL; Mosholu Parkway and Sedgwick Avenue,Y,1920,,tablet,,,bronze,,,Charles Eugene Tefft,,gift,,,07/01/1993,,,,,,,,
Clinton L. Bagg,,69,N,Manhattan,,,8,5,"METROPOLITAN HOSPITAL, ROTUNDA; welfare island",Y,,,tablet,,,bronze,,,margaret ward cole,,,,,07/01/1993,,,,,,, Sculpture,
Clinton Park - Stewart Plaque,clinton park-stewart plaque,270,Y,Manhattan,De Witt Clinton Park,M022,4,3,11th Avenue and 53rd Street; on stadium wall,S,,,Plaque on brick wall,,,Bronze,,,,,,,,07/01/1993,,,,,,," World War I, War Memorial","IN MEMORY OF PVT. EDWARD A STEWART CO. B 317TH MACHINE GUN BATTALION 81ST DIVISION-UNITED STATES ARMY WOUNDED NOV. 10, 1918/DIED NOV. 11, 1918. ""GOD'S"" FINGER TOUCHED HIM AND HE SLEPT""   TENNYSON"
Clinton War Memorial (Doughboy),Clinton War Memorial,271,Y,Manhattan,De Witt Clinton Park,M022,4,3,11th Avenue and 53rd Street,Y,"November 11, 1929",ca. 1927,"Standing figure (over life size) with integral plinth, on pedestal","H: 12' W: 4'8"" D: 4'8""",,"Bronze, North Jay granite",Gorham,,Burt W. Johnson,Harvey W. Corbett,Clinton District Memorial Association.,,,07/01/1993,Flanders Field Memorial; De Witt Clinton Park World War Memorial,,Y         ,,,," Sculpture, World War I, War Memorial, Soldier","Pedestal front:  FROM 'FLANDERS FIELDS' / IF YE BREAK FAITH / WITH THOSE WHO DIED / WE SHALL NOT SLEEP / THOUGH POPPIES GROW / ON FLANDERS FIELDS /  Pedestal rear:  DEDICATED / NOVEMBER 11, 1929 / BY COMRADES AND FRIENDS / UNDER THE AUSPICES OF / CLINTON DISRTICT MONUMENT / ASSOCIATION AS A MEMORIAL / TO THE YOUNG FOLK OF THIS NEIGHBORHOOD /  WHO GAVE THEIR ALL IN THE WORLD WAR /"
Coast Guard Memorial,Coast Guard Memorial,277,Y,Manhattan,Battery Park,M005,1,1,Not presently accessible; under construction.,Y,"May 30, 1955",1947,"Group of three figures (heroic scale), integral plinth, on pedestal","Group H: 8'10""; Pedestal H: 5'8"" W: 5'3"" D: 3'4""",,"Bronze, Deer Isle granite","Capital Products Inc., Long Island City",,Norman M. Thomas,,United States Coast Guard,,,07/01/1993,,,Y         ,,,," Sculpture, Soldier, War Memorial, World War II",Integral plinth: [signed] NORMAN M. THOMAS 1947 /  Pedestal: IN MEMORY OF THE MEN AND WOMEN / OF THE UNITED STATES COAST GUARD / WHO SERVED THEIR COUNTRY / IN WORLD WAR II A.D. 1941-1945 /
Dewitt Clinton,"clinton, dewitt",275,N,Manhattan,,,11,8,Museum of the City of New York; Fifth Avenue at 103rd & 104th Streets,Y,1941,,Portrait statue,"H: 6'6""",,Nickel bronze,,,Adolph Alexander Weinman,,Gift of a museum patron,,,07/01/1993,,,,,,," Sculpture, Politcal Figure",
Cobble Hill Historic District Plaque,cobble hill historic district plaque,278,Y,Brooklyn,Cobble Hill Park,B326,6,39,"Clinton and Congress Streets, and Verandah Place",Y,1971,,"Plaque with medallion at top, on plinth","H: 5"" W: 12""",,"Bronze, granite",,,,Richard Sosis,Cobble Hill Association; New York Community Trust,,,07/01/1993,,,Y         ,,,,,"HISTORIC DISTRICT NEW YORK CITY / COBBLE HILL HISTORIC DISTRICT / SETTLED BY DUTCH FARMERS IN THE 1640'S, THE RURAL / CHARACTER OF COBBLE HILL BEGAN TO CHANGE AFTER 1836, / WHEN THE ATLANTIC AVENUE FERRY TO MANHATTAN WENT / INTO OPERATION. THE EARLIEST BUILDINGS DATE FROM / THAT PERIOD AND ARE FINE EXAMPLES OF GREEK REVIVAL / ARCHITECTURE. LATER BUILDINGS EXEMPLIFY A / CROSS SECTION OF THE STYLES THAT WERE POPULAR / THROUGH THE 1880'S, WITH A REMARKABLE AMOUNT OF / FINE ORIGINAL IRONWORK STILL INTACT. ON HICKS STREET / AND WARREN PLACE ARE SOME OF THE EARLIEST LOW-COST / MODEL APARTMENTS AND ROW HOUSES IN THE CITY. / PLAQUE PROVIDED BY THE NEW YORK COMMUNITY TRUST, 1971. / "
Cockatoos and Ara,Cockatoos and Ara,279,O,Manhattan,Central Park,M010,7,8,"Central Park Zoo; Gallery, west end of south façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,07/01/1993,Cockatoos and Macaw,,,,,," Sculpture, Animal: other",[signed] F•G•R•ROTH
Coenties Ship,,1984,Y,Manhattan,,,1,1,Coenties Slip between Water and Pearl Streets,Y,"Oct. 4, 2006",,Vertical structure on cut glass bell-shaped base; with glass pavers in radiating fashion,"H: 21'6"" (approx.)",Lower Manhattan Development Corporation and Goldman Sachs,"Stainless steel, cut glass, fiber-optic lighting",,Polich Art Works (steel); Mison Concepts (glass),Bryan Hunt,George Vellonakis (landscape),,,,,,,Y         ,09/16/2006,,"$200,000",,
Coffey Square,,280,Y,Brooklyn,,B210Q,10,43,"7th Ave and 81st St., Ft. Hamilton Pkwy",Y,,,Two upright stones on elongated slab; one has bronze plaque and other has incised scene of Iwo Jima,,,Granite and bronze,,,,,,,,07/01/1993,,,Y         ,,,,,IN MEMORY / OF / THOSE MEMBERS OF OUR ARMED FORCES / WHO GAVE THEIR LIVES FOR OUR COUNTRY / THESE DEAD SHALL NOT HAVE DIED IN VAIN /
Col. J. Gardiner Conroy,"conroy, col. j. gardiner",321,Y,Brooklyn,,,8,33,ST. MARKS SQUARE; 6th and Flatbush Avenues and St. Marks Street,M,1945,,Plaque,,,,,,,,,,,07/01/1993,,,,,,,,
Coleman Square,,285,N,Queens,,,10,32,COLEMAN SQUARE; 159th Rd. and Coleman Square,Y,,,monument next to flagstaff with base,,,"granite, incised letters",,,,,,,,07/01/1993,,,,,,," World War II, War Memorial",BERNARD J. COLEMAN POST (VFW)  2565 DEDICATED TO THOSE WHO MADE THE SUPREME SACRIFICE
College of the City of New York,college of the city of new york,286,O,Manhattan,,,9,7,MAIN BUILDING; Convent Avenue and W. 137th Street,Y,,,Tablet,,,Bronze,,,,George B. Post and Sons,Purchase,,,07/01/1993,,,,,,,,
College Point War Memorial,college point war memorial,287,Y,Queens,Mall on 18th Avenue between 126th and 127th Streets,Q033,7,19,Between 127th and 128th Streets and 18th Avenue,Y,1930,,Stele with plaque,"Stele H: 76"" W: 31"" D: 20""; Plaque H: 22.5"" W: 30""",,"Concrete, bronze",,,,,American Legion,,,07/01/1993,,,Y         ,,,," World War I, War Memorial","IN MEMORIAM / TO THE MEN OF COLLEGE POINT / WHO MADE THE SUPREME SACRIFICE / DURING THE WORLD WAR / APRIL 6, 1917 - NOVEMBER 11, 1918 / OSCAR AMMANN --- ALBERT W. FREY / AUGUST BIEGLER --- CHRISTIAN GEIDEL / AUGUST BREISACHER --- CHARLES O. MAHLER / BENJAMIN BLUE --- THOMAS MC CORMACK / RUDOLPH BRUGGER --- WILLIAM J. MOHRMANN / WILLIAM BUERGER --- LOUIS SCHMIDT / JOHN H. EMBREE --- EMIL SCHWAB / JOHN B. ENDRES --- EDWARD STACK / THOMAS FAGAN --- ALFRED STENGEL / ERECTED BY / OSCAR AMMAN POST NO. 853 / AMERICAN LEGION / 1930 /"
Colonel David Marcus Memorial Plaque,"Marcus, David",1789,Y,Brooklyn,Colonel David Marcus Memorial Playground,B128,12,44,"Ocean Pkwy, Ave P, E 3rd St; mounted on comfort station wall",Y,"June 13, 1993",1991,Plaque,"H: 10¾"" W: 1'½""",,Bronze,,Trophy World,,,Kings County  American Legion and Jewish War Veterans,,,03/31/1998,,,Y         ,,,232.00,,"COLONEL DAVID MARCUS / MAY HIS COURAGE AND THE IDEALS / OF LIBERTY AND EQUALITY FOR / WHICH HE SACRIFICED HIS LIFE SERVE / AS AN INSPIRATION TO ALL CHILDREN / BORN, NEW YORK, N.Y., FEBRUARY 22, 1901 / DIED, TELSHE STONE, ISRAEL, JUNE 10, 1948, / IN THE ISRAELI WAR FOR INDEPENDENCE. / DONATED BY / KINGS COUNTY AMERICAN LEGION / JEWISH WAR VETERANS / "
Colonel David Marcus Memorial Playground Plaque,"Marcus, David",975,Y,Brooklyn,Colonel David Marcus Memorial Playground,B128,12,44,"Ocean Pkwy., Avenue P, East 3rd Street",Y,1948,1948,Plaque on plinth,"H: 10"" W: 1'3""",,"Bronze, granite",,,,,Colonel David Marcus Memorial Committee,,,07/01/1993,,,Y         ,,,," War Memorial, World War II","COLONEL DAVID MARCUS PLAYGROUND /---/ DEDICATED TO THE MEMORY OF / COLONEL DAVID MARCUS - AMERICAN / SOLDIER - LAWYER - NEW YORK CITY / OFFICIAL - KILLED JUNE 10, 1948 WHILE / LEADING ISRAELI FORCES NEAR / JERUSALEM. LIBERTY AND EQUALITY / FOR ALL MEN WERE MORE PRECIOUS / TO HIM THAN HIS LIFE. / "
Colonel Frank H. Hines Memorial,"Hines, Frank H.",727,Y,the Bronx,Hines Park,X026,3,16,Fulton Avenue and East 167th Street,M,1930,1930,"Eagle on a column, on a pedestal with plaque","H: 15'1"" W: 3'8"" D: 3'8""",,"Bronze, travertine",,,Anton Schaaf,James J. Sheridan,"David  Allen American Legion Post,",,,07/01/1993,,,,,,5000.00," World War I, War Memorial",
Colonel William Baxter,,92,N,Manhattan,,,12,10,GEORGE WASHINGTON HIGH SCHOOL; audubon ave at 192nd st,Y,"June 23, 1923",,tablet on natural boulder,"3'3""h x 1'11""w",,bronze,,,,,manhattan chapter d.a.r.,,,07/01/1993,,,,,,,,IN GRATEFUL REMEMBERANCE OF/THE PATRIOT VOLUNTEERS OF/THE PENNSYVANIA FLYING CAMP/LED BY/COLONEL WILLIAM BAXTER/OF BUCKS COUNTY PENNSYLVANIA/WHO WITH MANY OF HIS MEN FELL/WHILE DEFENDING THIS HEIGHT 16 NOVEMBER 1776/AND WAS BURIED NEAR THIS SPOT/THIS ROCK/STOOD WITHIN THE LINES OF/FORT GEORGE/THE PRINCIPLE WORK CONSTRUCTED BY/THE BRITISH AND THE HESSIAN FORCES/WHO OCCUPIED LAUREL HILL/1776--1783/THE MANHATTAN CHAPTER/DAUGHTERS OF THE AMERICAN REVOLUTION/PLACED THIS MEMORIAL/23 JUNE 1923
